1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
4,ROOM TEMP,0.25,48,LAI
6,EXH FLO AO1,0.01,0,LAO
7,SUP VFD AO2,0.01,0,LAO
8,GEX DMPR AO3,0.01,0,LAO
10,HI GEX LIMIT,0.01,0,LAO
11,LO GEX LIMIT,0.01,0,LAO
13,ROOM STPT,0.25,48,LAI
14,TRACK METHOD,1,0,LDO
15,AI3,0.04,0,LAI
16,VENT ALM DEL,1,0,LAO
17,VENT ALM ENA,1,0,LDO
19,DI OVRD SW,1,0,LDI
22,VOL DIF ALM,1,0,LDO
23,NET ALM CMD,1,0,LDO
24,VFD DI2,1,0,LDI
26,GEX P GAIN,0.001,0,LAO
27,VFD ALM DI6,1,0,LDI
28,VFD ALM ENA,1,0,LDO
30,GEX AIR VOL,4,0,LAI
33,HI SUP LIMIT,0.01,0,LAO
34,LO SUP LIMIT,0.01,0,LAO
35,SUP AIR VOL,4,0,LAI
36,SUP FLO COEF,0.01,0,LAO
37,DIF ALM ENA,1,0,LDO
38,DIF ALM LVL,4,-8000,LAO
39,DIF ALM DEL,1,0,LAO
40,FAIL MODE,1,0,LDO
41,VFD 1,1,0,LDO
42,DO 2,1,0,LDO
43,DO 3,1,0,LDO
44,DO 4,1,0,LDO
45,AUTOZERO DO5,1,0,LDO
46,ALARM DO6,1,0,LDO
47,AI 4,0.4,0,LAI
48,SUP TEMP AI5,0.5,37.5,LAI
49,TRACK MODE,1,0,LDO
50,CAL SUP VLV,1,0,LDO
51,CAL GEX VLV,1,0,LDO
52,MAX FHX VOL,4,0,LAO
53,TOTL EXHAUST,4,0,LAI
54,GEX FLO COEF,0.01,0,LAO
55,MIN FHX VOL,4,0,LAO
60,GEXDUCT AREA,0.025,0,LAO
61,OTHER SUP,4,0,LAO
62,VOL DIFFRNC,4,-8000,LAI
69,TOTL SUPPLY,4,0,LAI
70,SUP P GAIN,0.001,0,LAO
73,DO DIR.REV,1,0,LAO
74,GEX MAX,4,0,LAO
75,GEX MIN,4,0,LAO
76,SUP MAX,4,0,LAO
77,SUP MIN,4,0,LAO
80,MIN GVLV FLO,4,0,LAO
81,MIN SVLV FLO,4,0,LAO
82,GEX VLV STAT,1,0,LDO
83,SUP VLV STAT,1,0,LDO
85,GEX FLO STPT,4,0,LAO
86,FAIL LIMIT,4,0,LAO
87,FAIL TIME,2,0,LAO
88,VOL DIF STPT,4,-8000,LAO
89,OTHER EXH,4,0,LAO
90,VENT ALM LVL,4,0,LAO
92,VENT ALM,1,0,LDO
93,SUP FLO STPT,4,0,LAO
94,CAL AIR,1,0,LDO
95,CAL SETUP,1,0,LAO
96,CAL TIMER,1,0,LAO
97,SUPDUCT AREA,0.025,0,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
