11:43:56 AM#,Descriptor,Current,Units,Slope,Intercept,ON Text,OFF Text,Type
1,CTLR ADDRESS,99,      ,1,0,,,LAO
2,APPLICATION,2300,      ,1,0,,,LAO
4,ROOM TEMP,74.00,DEG F ,0.25,48.00,,,LAI
5,HEAT.COOL,COOL,,1,0,HEAT,COOL,LDO
6,OCC CLG STPT,70.00,DEG F ,0.25,48.00,,,LAO
7,OCC HTG STPT,70.00,DEG F ,0.25,48.00,,,LAO
8,UOC CLG STPT,65.00,DEG F ,0.25,48.00,,,LAO
9,UOC HTG STPT,65.00,DEG F ,0.25,48.00,,,LAO
11,RM STPT MIN,55.00,DEG F ,0.25,48.00,,,LAO
12,RM STPT MAX,90.00,DEG F ,0.25,48.00,,,LAO
13,RM STPT DIAL,74.00,DEG F ,0.25,48.00,,,LAI
14,STPT DIAL,NO,,1,0,YES,NO,LDO
15,ROOM RH,28.8,PCT   ,0.4,0.0,,,LAI
16,ROOM RH STPT,49.6,PCT   ,0.4,0.0,,,LAO
18,WALL SWITCH,NO,,1,0,YES,NO,LDO
19,DI OVRD SW,OFF,,1,0,ON,OFF,LDI
20,OVRD TIME,0,HRS   ,1,0,,,LAO
21,UNOCC OVRD,OCC,,1,0,UNOCC,OCC,LDO
24,DI 2,OFF,,1,0,ON,OFF,LDI
25,DI 3,OFF,,1,0,ON,OFF,LDI
26,SPEC HUM,0.0,      ,0.1,0.0,,,LAO
27,SPEC HUM SET,49.9,      ,0.1,0.0,,,LAO
28,SPH CTL SET,49.9,      ,0.1,0.0,,,LAO
29,OCC.UNOCC,OCC,,1,0,UNOCC,OCC,LDO
30,LOW FLOW,220, CFM  ,4,0,,,LAO
31,UNOCC FLOW,220, CFM  ,4,0,,,LAO
32,OCC FLOW,2200, CFM  ,4,0,,,LAO
35,AIR VOLUME,0, CFM  ,4,0,,,LAI
36,FLOW COEFF,1.00,      ,0.01,0.00,,,LAO
37,HMD VLV CMD,0.0,PCT   ,0.4,0.0,,,LAO
38,HMD VLV POS,0.0,PCT   ,0.4,0.0,,,LAO
39,MTR3 TIMING,90,SEC   ,1,0,,,LAO
40,FAIL MODE,OPEN,,1,0,CLOSED,OPEN,LDO
41,DO 1,OFF,,1,0,ON,OFF,LDO
42,DO 2,OFF,,1,0,ON,OFF,LDO
43,DO 3,OFF,,1,0,ON,OFF,LDO
44,DO 4,OFF,,1,0,ON,OFF,LDO
45,DO 5,OFF,,1,0,ON,OFF,LDO
46,DO 6,OFF,,1,0,ON,OFF,LDO
47,DO 7,OFF,,1,0,ON,OFF,LDO
48,DMPR COMD,0.0,PCT   ,0.4,0.0,,,LAO
49,DMPR POS,0.0,PCT   ,0.4,0.0,,,LAO
50,DO 8,OFF,,1,0,ON,OFF,LDO
51,MTR1 TIMING,90,SEC   ,1,0,,,LAO
52,VLV COMD,0.0,PCT   ,0.4,0.0,,,LAO
53,VLV POS,0.0,PCT   ,0.4,0.0,,,LAO
54,AI3 VOLT.CUR,VOLT,,1,0,CURENT,VOLT,LDO
55,MTR2 TIMING,90,SEC   ,1,0,,,LAO
56,DPR1 ROT ANG,90,      ,1,0,,,LAO
58,MTR SETUP,0,      ,1,0,,,LAO
59,DO DIR.REV,0,      ,1,0,,,LAO
65,HTG P GAIN,10.00,      ,0.25,0.00,,,LAO
66,HTG I GAIN,0.011,      ,0.001,0.000,,,LAO
67,HTG D GAIN,0,      ,2,0,,,LAO
68,HTG BIAS,0.0,PCT   ,0.4,0.0,,,LAO
69,FLOW P GAIN,0.00,      ,0.05,0.00,,,LAO
70,FLOW I GAIN,0.017,      ,0.001,0.000,,,LAO
71,FLOW D GAIN,0,      ,2,0,,,LAO
72,FLOW BIAS,49.6,PCT   ,0.4,0.0,,,LAO
73,FLOW,0.00,PCT   ,0.25,0.00,,,LAO
74,SPH P GAIN,5.00,      ,0.25,0.00,,,LAO
75,SPH I GAIN,0.004,      ,0.001,0.000,,,LAO
76,SPH D GAIN,0,      ,2,0,,,LAO
77,SPH BIAS,0.0,PCT   ,0.4,0.0,,,LAO
78,CTL TEMP,74.00,DEG F ,0.25,48.00,,,LAO
80,HTG LOOPOUT,0.0,PCT   ,0.4,0.0,,,LAO
83,RH LIMIT,1.6,PCT   ,0.4,0.0,,,LAO
84,DMPR STATUS,CAL,,1,0,RECAL,CAL,LDO
87,CAL MODULE,NO,,1,0,YES,NO,LDO
91,TOTAL VOLUME,0, CF   ,4,0,,,LAO
92,CTL STPT,74.00,DEG F ,0.25,48.00,,,LAO
93,FLOW STPT,0.00,PCT   ,0.25,0.00,,,LAO
94,CAL AIR,NO,,1,0,YES,NO,LDO
95,CAL SETUP,4,      ,1,0,,,LAO
96,CAL TIMER,12,HRS   ,1,0,,,LAO
97,DUCT AREA,0.975,SQ. FT,0.025,0.000,,,LAO
98,LOOP TIME,5,SEC   ,1,0,,,LAO
99,ERROR STATUS,0,      ,1,0,,,LAO
