11:46:57 AM#,Descriptor,Current,Units,Slope,Intercept,ON Text,OFF Text,Type
1,CTLR ADDRESS,99,      ,1,0,,,LAO
2,APPLICATION,2303,      ,1,0,,,LAO
4,ROOM TEMP,23.44888,DEG C ,0.14000,8.88888,,,LAI
15,ROOM RH,28.8,PCT   ,0.4,0.0,,,LAI
16,ROOM RH STPT,49.6,PCT   ,0.4,0.0,,,LAO
17,RH LIMIT,1.6,PCT   ,0.4,0.0,,,LAO
19,DI OVRD SW,OFF,,1,0,ON,OFF,LDI
24,DI 2,OFF,,1,0,ON,OFF,LDI
25,DI 3,OFF,,1,0,ON,OFF,LDI
35,AIR VOLUME,0.0000, LPS  ,1.8876,0.0000,,,LAI
36,FLOW COEFF,1.00,      ,0.01,0.00,,,LAO
37,HMD VLV CMD,0.0,PCT   ,0.4,0.0,,,LAO
38,HMD VLV POS,0.0,PCT   ,0.4,0.0,,,LAO
39,MTR3 TIMING,90,SEC   ,1,0,,,LAO
41,DO 1,OFF,,1,0,ON,OFF,LDO
42,DO 2,OFF,,1,0,ON,OFF,LDO
43,DO 3,OFF,,1,0,ON,OFF,LDO
44,DO 4,OFF,,1,0,ON,OFF,LDO
45,DO 5,OFF,,1,0,ON,OFF,LDO
46,DO 6,OFF,,1,0,ON,OFF,LDO
47,DO 7,OFF,,1,0,ON,OFF,LDO
48,MTR1 COMD,0.0,PCT   ,0.4,0.0,,,LAO
49,MTR1 POS,0.0,PCT   ,0.4,0.0,,,LAO
50,DO 8,OFF,,1,0,ON,OFF,LDO
51,MTR1 TIMING,90,SEC   ,1,0,,,LAO
52,MTR2 COMD,0.0,PCT   ,0.4,0.0,,,LAO
53,MTR2 POS,0.0,PCT   ,0.4,0.0,,,LAO
54,AI3 VOLT.CUR,VOLT,,1,0,CURENT,VOLT,LDO
55,MTR2 TIMING,90,SEC   ,1,0,,,LAO
56,DPR1 ROT ANG,90,      ,1,0,,,LAO
57,DPR2 ROT ANG,90,      ,1,0,,,LAO
58,MTR SETUP,0,      ,1,0,,,LAO
59,DO DIR.REV,0,      ,1,0,,,LAO
61,RH P GAIN,9.00,      ,0.45,0.00,,,LAO
62,RH I GAIN,0.0162,      ,0.0018,0.0000,,,LAO
63,RH D GAIN,0.0,      ,3.6,0.0,,,LAO
64,RH BIAS,0.0,PCT   ,0.4,0.0,,,LAO
78,CTL TEMP,23.44888,DEG C ,0.14000,8.88888,,,LAO
87,CAL MODULE,NO,,1,0,YES,NO,LDO
94,CAL AIR,NO,,1,0,YES,NO,LDO
95,CAL SETUP,4,      ,1,0,,,LAO
96,CAL TIMER,12,HRS   ,1,0,,,LAO
97,DUCT AREA,0.090597,SQ M  ,0.002323,0.000000,,,LAO
98,LOOP TIME,5,SEC   ,1,0,,,LAO
99,ERROR STATUS,0,      ,1,0,,,LAO
