1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
3,LTDT NO.NC,1,0,LDO
4,ROOM TEMP,0.14,8.89,LAI
5,HEAT.COOL,1,0,LDO
6,DAY CLG STPT,0.14,8.89,LAO
7,DAY HTG STPT,0.14,8.89,LAO
8,NGT CLG STPT,0.14,8.89,LAO
9,NGT HTG STPT,0.14,8.89,LAO
10,OADPR MINPOS,0.4,0,LAO
11,RM STPT MIN,0.14,8.89,LAO
12,RM STPT MAX,0.14,8.89,LAO
13,RM STPT DIAL,0.14,8.89,LAI
14,STPT DIAL,1,0,LDO
15,DISCH TEMP,0.28,3.056,LAI
17,FBP.MODVALVE,1,0,LDO
18,WALL SWITCH,1,0,LDO
19,DI OVRD SW,1,0,LDI
20,OVRD TIME,1,0,LAO
21,NGT OVRD,1,0,LDO
22,AUX.NOAUX,1,0,LDO
23,FREE CLG,1,0,LDO
24,DI 2,1,0,LDI
25,DI 3,1,0,LDI
26,DI 4,1,0,LDI
29,DAY.NGT,1,0,LDO
30,WRMUP.COOLDN,1,0,LDO
31,AOV1 SPAN,0.01,0,LAO
32,AOV1 START,0.01,0,LAO
33,AOV2 SPAN,0.01,0,LAO
34,AOV2 START,0.01,0,LAO
35,AOV3 SPAN,0.01,0,LAO
36,AOV3 START,0.01,0,LAO
37,AO DIR.REV,1,0,LAO
38,AOV1,0.01,0,LAO
39,AOV2,0.01,0,LAO
40,AOV3,0.01,0,LAO
41,AUX RAD,1,0,LDO
42,DO 2,1,0,LDO
43,DO 3,1,0,LDO
44,DX,1,0,LDO
45,DO 5,1,0,LDO
46,DO 6,1,0,LDO
47,DO 7,1,0,LDO
50,FAN,1,0,LDO
53,NGT HW HTG,1,0,LDO
54,NGT CLG MODE,1,0,LDO
55,AUX OUTPUT,0.4,0,LAO
56,OA TEMP,1,0,LDO
57,AUX HTG TIME,1,0,LAO
59,DO DIR.REV,1,0,LAO
60,HTG OUTPUT,0.4,0,LAO
61,CLG OUTPUT,0.4,0,LAO
62,OA DMPR POS,0.4,0,LAO
63,CLG P GAIN,0.36,0,LAO
64,CLG I GAIN,0.0009,0,LAO
65,CLG D GAIN,3.6,0,LAO
66,CLG BIAS,0.2,0,LAO
67,HTG P GAIN,0.09,0,LAO
68,HTG I GAIN,0.00036,0,LAO
69,HTG D GAIN,1.8,0,LAO
70,HTG BIAS,0.2,0,LAO
71,ROOM P GAIN,0.09,0,LAO
72,ROOM I GAIN,0.000162,0,LAO
73,ROOM D GAIN,3.6,0,LAO
74,ROOM BIAS,0.28,3.056,LAO
75,CMP MIN OFF,1,0,LAO
76,CMP MIN ON,1,0,LAO
77,AUX LOOPOUT,0.2,0,LAO
78,CTL TEMP,0.14,8.89,LAO
79,CLG LOOPOUT,0.2,0,LAO
80,HTG LOOPOUT,0.2,0,LAO
81,AUX P GAIN,0.036,0,LAO
82,AUX I GAIN,0.000162,0,LAO
83,AUX D GAIN,1.8,0,LAO
84,AUX BIAS,0.2,0,LAO
85,SWITCH LIMIT,0.4,0,LAO
86,SWITCH TIME,1,0,LAO
87,LOW TEMP DET,1,0,LDO
88,NGT DBAND,0.14,0,LAO
89,MORN DBAND,0.14,0,LAO
90,SWITCH DBAND,0.14,0,LAO
91,AUX DSH STPT,0.28,3.056,LAO
92,CTL STPT,0.14,8.89,LAO
93,DISCH STPT,0.28,3.056,LAO
94,DSH MIN TEMP,0.28,3.056,LAO
95,DSH MAX TEMP,0.28,3.056,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
