1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
4,ROOM TEMP,0.25,48,LAI
15,AUX TEMP,0.5,37.5,LAI
18,WALL SWITCH,0,0,LDO
19,DI OVRD SW,0,0,LDI
20,OVRD TIME,1,0,LAO
21,UNOCC OVRD,1,0,LDO
24,DI 2,0,0,LDI
25,DI 3,0,0,LDI
29,OCC.UNOCC,0,0,LDO
31,UNOCC FLOW,1,0,LAO
32,OCC FLOW,4,0,LAO
35,AIR VOLUME,4,0,LAI
36,FLOW COEFF,0.01,0,LAO
37,MTR3 COMD,0.4,0,LAO
41,DO 1,0,0,LDO
42,DO 2,0,0,LDO
43,DO 3,0,0,LDO
44,DO 4,0,0,LDO
45,DO 5,0,0,LDO
46,DO 6,0,0,LDO
48,MTR1 COMD,0.4,0,LAO
49,MTR1 POS,0.4,0,LAO
51,MTR1 TIMING,1,0,LAO
52,MTR2 COMD,0.4,0,LAO
53,MTR2 POS,0.4,0,LAO
55,MTR2 TIMING,1,0,LAO
56,DPR1 ROT ANG,1,0,LAO
57,DPR2 ROT ANG,1,0,LAO
58,MTR SETUP,1,0,LAO
59,DO DIR.REV,1,0,LAO
71,FLOW P GAIN,0.05,0,LAO
72,FLOW I GAIN,0.001,0,LAO
73,FLOW D GAIN,2,0,LAO
74,FLOW BIAS,0.4,0,LAO
75,FLOW,0.25,0,LAO
78,CTL TEMP,0.14,8.88888,LAO
84,DMPR STATUS,1,0,LDO
87,CAL MODULE,0,0,LDO
91,TOTAL VOLUME,4,0,LAO
93,FLOW STPT,0.25,0,LAO
94,CAL AIR,0,0,LDO
95,CAL SETUP,1,0,LAO
96,CAL TIMER,1,0,LAO
97,DUCT AREA,0.025,0,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
