1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
3,DMPR STATUS,1,0,LDO
4,ROOM TEMP,0.14,8.88888,LAI
5,START,0.4,0,LAO
6,REHEAT AO1,0.01,0,LAO
7,AO2,0.01,0,LAO
8,AO3,0.01,0,LAO
9,TEMP CTL VOL,1.8876,0,LAO
12,BUTTON ENA,1,0,LDO
13,ROOM STPT,0.14,8.88888,LAI
14,TRACK METHOD,1,0,LDO
15,FHX SIG AI3,0.04,0,LAI
16,VENT ALM DEL,1,0,LAO
17,VENT ALM ENA,1,0,LDO
18,OCC SWIT ENA,1,0,LDO
19,OCC BUTTON,1,0,LDI
21,OCC.UNOCC,1,0,LDO
22,VOL DIF ALM,1,0,LDO
23,NET ALM CMD,1,0,LDO
24,OCC SWIT DI2,1,0,LDI
25,BUTTON CMD,1,0,LDO
26,GEX P GAIN,0.001,0,LAO
27,ALM SWIT DI6,1,0,LDI
28,ALM SWIT ENA,1,0,LDO
29,NET OCC CMD,1,0,LDO
30,GEX AIR VOL,1.8876,0,LAI
31,OCC SUP MAX,1.8876,0,LAO
32,OCC SUP MIN,1.8876,0,LAO
33,OCC GEX MAX,1.8876,0,LAO
34,OCC GEX MIN,1.8876,0,LAO
35,SUP AIR VOL,1.8876,0,LAI
36,SUP FLO COEF,0.01,0,LAO
37,DIF ALM ENA,1,0,LDO
38,DIF ALM LVL,1.8876,-3775.199951,LAO
39,DIF ALM DEL,1,0,LAO
40,FAIL MODE,1,0,LDO
41,DO 1,1,0,LDO
42,DO 2,1,0,LDO
43,DO 3,1,0,LDO
44,DO 4,1,0,LDO
45,AUTOZERO DO5,1,0,LDO
46,ALARM DO6,1,0,LDO
47,AI 4,0.4,0,LAI
48,SUP TEMP AI5,0.28,3.056,LAI
49,VALVE CMD,0.4,0,LAO
50,TRACK MODE,1,0,LDO
51,MIN FHX VOL,1.8876,0,LAO
52,MAX FHX VOL,1.8876,0,LAO
53,TOTL EXHAUST,1.8876,0,LAI
54,GEX FLO COEF,0.01,0,LAO
55,FHX OCC VOL,1.8876,0,LAO
56,FHX UOC VOL,1.8876,0,LAO
57,VALVE CLOSED,0.01,0,LAO
58,VALVE OPEN,0.01,0,LAO
59,FHX VOL,1.8876,0,LAI
60,GEXDUCT AREA,0.002323,0,LAO
61,OTHER SUP,1.8876,0,LAO
62,VOL DIFFRNC,1.8876,-3775.199951,LAI
63,ROOM P GAIN,0.45,0,LAO
64,ROOM I GAIN,0.0018,0,LAO
65,OCC DIF STPT,1.8876,-3775.199951,LAO
66,UOC DIF STPT,1.8876,-3775.199951,LAO
67,UOC GEX MAX,1.8876,0,LAO
68,UOC GEX MIN,1.8876,0,LAO
69,TOTL SUPPLY,1.8876,0,LAI
70,SUP P GAIN,0.001,0,LAO
71,UOC SUP MAX,1.8876,0,LAO
72,UOC SUP MIN,1.8876,0,LAO
73,DO DIR.REV,1,0,LAO
74,MTR SETUP,1,0,LAO
75,SUP DMP CMD,0.4,0,LAO
76,MTR1 TIMING,1,0,LAO
77,MTR1 ROT ANG,1,0,LAO
78,CTL TEMP,0.14,8.88888,LAO
79,TEMP LOOPOUT,0.4,0,LAO
80,GEX DMP CMD,0.4,0,LAO
81,MTR2 TIMING,1,0,LAO
82,MTR2 ROT ANG,1,0,LAO
83,OCC STATE,1,0,LDO
84,UNOCC STATE,1,0,LDO
85,GEX FLO STPT,1.8876,0,LAO
86,FAIL LIMIT,1.8876,0,LAO
87,FAIL TIME,2,0,LAO
88,VOL DIF STPT,1.8876,-3775.199951,LAO
89,OTHER EXH,1.8876,0,LAO
90,OC V ALM LVL,1.8876,0,LAO
91,UC V ALM LVL,1.8876,0,LAO
92,VENT ALM,1,0,LDO
93,SUP FLO STPT,1.8876,0,LAO
94,CAL AIR,1,0,LDO
95,CAL SETUP,1,0,LAO
96,CAL TIMER,1,0,LAO
97,SUPDUCT AREA,0.002323,0,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
