1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
4,ROOM TEMP,0.14,8.88888,LAI
5,HEAT.COOL,1,0,LDO
6,DAY CLG STPT,0.14,8.88888,LAO
7,DAY HTG STPT,0.14,8.88888,LAO
8,NGT CLG STPT,0.14,8.88888,LAO
9,NGT HTG STPT,0.14,8.88888,LAO
11,RM STPT MIN,0.14,8.88888,LAO
12,RM STPT MAX,0.14,8.88888,LAO
13,RM STPT DIAL,0.14,8.88888,LAI
14,STPT DIAL,1,0,LDO
15,AUX TEMP,0.28,3.055556,LAI
18,WALL SWITCH,1,0,LDO
19,DI OVRD SW,1,0,LDI
20,OVRD TIME,1,0,LAO
21,NGT OVRD,1,0,LDO
24,DI 2,1,0,LDI
25,DI 3,1,0,LDI
29,DAY.NGT,1,0,LDO
41,DO 1,1,0,LDO
42,DO 2,1,0,LDO
43,HTG STG 1,1,0,LDO
44,HTG STG 2,1,0,LDO
45,HTG STG 3,1,0,LDO
46,FAN,1,0,LDO
48,VLV COMD,0.4,0,LAO
49,VLV POS,0.4,0,LAO
51,MTR 1 TIMING,1,0,LAO
56,MTR1 ROT ANG,1,0,LAO
58,MTR SETUP,1,0,LAO
59,DO DIR. REV,1,0,LAO
60,CYCLE FAN,1,0,LDO
63,CLG P GAIN,0.45,0,LAO
64,CLG I GAIN,0.0018,0,LAO
65,CLG D GAIN,3.6,0,LAO
66,CLG BIAS,0.4,0,LAO
67,HTG P GAIN,0.45,0,LAO
68,HTG I GAIN,0.0018,0,LAO
69,HTG D GAIN,3.6,0,LAO
70,HTG BIAS,0.4,0,LAO
78,CTL TEMP,0.14,8.88888,LAO
79,CLG LOOPOUT,0.4,0,LAO
80,HTG LOOPOUT,0.4,0,LAO
81,AVG HEAT OUT,2,0,LAO
82,HTG STG MAX,0.4,0,LAO
83,HTG STG MIN,0.4,0,LAO
84,STAGE FAN,0.4,0,LAO
85,SWITCH LIMIT,0.4,0,LAO
86,SWITCH TIME,1,0,LAO
88,HTG STG CNT,1,0,LAO
89,HTG STG TIME,1,0,LAO
90,SWITCH DBAND,0.14,0,LAO
92,CTL STPT,0.14,8.88888,LAO
96,CAL TIMER,1,0,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
