1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
4,RTS TEMP,0.14,8.88888,LAI
5,HEAT.COOL,1,0,LDO
6,DAY CLG STPT,0.111111,4.444444,LAO
7,DAY HTG STPT,0.111111,4.444444,LAO
8,NGT CLG STPT,0.111111,4.444444,LAO
9,NGT HTG STPT,0.111111,4.444444,LAO
11,RM STPT MIN,0.14,8.88888,LAO
12,RM STPT MAX,0.14,8.88888,LAO
13,RM STPT DIAL,0.14,8.88888,LAI
14,STPT DIAL,1,0,LDO
15,ROOM TEMP,0.111111,4.444444,LAI
16,VLV 1 START,0.4,0,LAO
17,VLV 1 END,0.4,0,LAO
18,WALL SWITCH,1,0,LDO
19,DI OVRD SW,1,0,LDI
20,OVRD TIME,1,0,LAO
21,NGT OVRD,1,0,LDO
22,VLV 2 START,0.4,0,LAO
23,VLV 2  END,0.4,0,LAO
24,DI 2,1,0,LDI
25,DI 3,1,0,LDI
27,DI 5,1,0,LDI
28,DI 6,1,0,LDI
29,DAY.NGT,1,0,LDO
30,SUPPLY TEMP,0.28,3.055556,LAI
31,AI 5,0.28,3.055556,LAI
32,AOV1,0.01,0,LAO
33,AOV2,0.01,0,LAO
34,AOV3,0.01,0,LAO
41,DO 1,1,0,LDO
42,DO 2,1,0,LDO
43,DO 3,1,0,LDO
44,DO 4,1,0,LDO
45,DO 5,1,0,LDO
46,FAN,1,0,LDO
48,VLV 1 COMD,0.4,0,LAO
49,VLV 1 POS,0.4,0,LAO
51,MTR 1 TIMING,1,0,LAO
52,VLV 2 COMD,0.4,0,LAO
53,VLV 2 POS,0.4,0,LAO
55,MTR 2 TIMING,1,0,LAO
56,MTR1 ROT ANG,1,0,LAO
57,MTR2 ROT ANG,1,0,LAO
58,MTR SETUP,1,0,LAO
59,DO DIR. REV,1,0,LAO
60,CYCLE FAN,1,0,LDO
61,COOL TEMP,0.28,3.055556,LAO
62,HEAT TEMP,0.28,3.055556,LAO
63,CLG P GAIN,0.45,0,LAO
64,CLG I GAIN,0.0018,0,LAO
65,CLG D GAIN,3.6,0,LAO
66,CLG BIAS,0.4,0,LAO
67,HTG P GAIN,0.45,0,LAO
68,HTG I GAIN,0.0018,0,LAO
69,HTG D GAIN,3.6,0,LAO
70,HTG BIAS,0.4,0,LAO
78,CTL TEMP,0.111111,4.444444,LAO
79,CLG LOOPOUT,0.4,0,LAO
80,HTG LOOPOUT,0.4,0,LAO
84,STAGE FAN,0.4,0,LAO
85,SWITCH LIMIT,0.4,0,LAO
88,VALVE CNT,1,0,LAO
92,CTL STPT,0.111111,4.444444,LAO
96,CAL TIMER,1,0,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
