1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
3,TRACK MODE,1,0,LDO
4,ROOM TEMP,0.25,48,LAI
5,HEAT.COOL,1,0,LDO
6,DAY CLG STPT,0.25,48,LAO
7,DAY HTG STPT,0.25,48,LAO
8,NGT CLG STPT,0.25,48,LAO
9,NGT HTG STPT,0.25,48,LAO
10,ACTIVE.NTRAL,1,0,LDO
11,RM STPT MIN,0.25,48,LAO
12,RM STPT MAX,0.25,48,LAO
13,RM STPT DIAL,0.25,48,LAI
14,STPT DIAL,1,0,LDO
15,AUX TEMP,0.5,37.5,LAI
18,WALL SWITCH,1,0,LDO
19,DI OVRD SW,1,0,LDI
20,OVRD TIME,1,0,LAO
21,NGT OVRD,1,0,LDO
24,DI 2,1,0,LDI
25,POS.NEG,1,0,LDI
26,EXHFLO PGAIN,0.02,0,LAO
27,EXHFLO IGAIN,0.0005,0,LAO
28,EXHFLO DGAIN,1,0,LAO
29,DAY.NGT,1,0,LDO
30,EXH AIR VOL,4,0,LAI
31,CLG FLOW MIN,4,0,LAO
32,CLG FLOW MAX,4,0,LAO
33,HTG FLOW MIN,4,0,LAO
34,HTG FLOW MAX,4,0,LAO
35,SUP AIR VOL,4,0,LAI
36,SUP FLO COEF,0.01,0,LAO
38,OFFSET LMT,4,0,LAO
39,ALARM DELAY,1,0,LAO
40,FAIL MODE,1,0,LDO
41,VOL SUP ACT1,1,0,LDO
42,VOL BLD ACT1,1,0,LDO
43,VOL SUP ACT2,1,0,LDO
44,VOL BLD ACT2,1,0,LDO
45,HTG SUP ACT3,1,0,LDO
46,HTG BLD ACT3,1,0,LDO
47,AUTOZERO MOD,1,0,LDO
50,ALARM OUT,1,0,LDO
54,EXH FLO COEF,0.01,0,LAO
59,EXH SETUP,1,0,LDO
60,EXHDUCT AREA,0.025,0,LAO
61,HTG SETUP,1,0,LDO
62,SUP SETUP,1,0,LDO
63,CLG P GAIN,0.25,0,LAO
64,CLG I GAIN,0.001,0,LAO
65,CLG D GAIN,2,0,LAO
66,CLG BIAS,0.4,0,LAO
67,HTG P GAIN,0.0225,0,LAO
68,HTG I GAIN,0.0005,0,LAO
69,HTG D GAIN,1,0,LAO
70,HTG BIAS,0.1,-100,LAO
71,SUPFLO PGAIN,0.02,0,LAO
72,SUPFLO IGAIN,0.0005,0,LAO
73,SUPFLO DGAIN,1,0,LAO
74,EXHAUST FLOW,0.25,0,LAO
75,SUPPLY FLOW,0.25,0,LAO
76,CTL FLOW MIN,4,0,LAO
77,CTL FLOW MAX,4,0,LAO
78,CTL TEMP,0.25,48,LAO
79,CLG LOOPOUT,0.4,0,LAO
80,HTG LOOPOUT,0.1,-100,LAO
81,SUP LOOPOUT,1,-100,LAO
82,EXH LOOPOUT,1,-100,LAO
83,ACTUAL OFFST,4,-8000,LAO
84,TRACKING,1,0,LDO
85,EXH FLO STPT,0.25,0,LAO
86,SWITCH TIME,1,0,LAO
87,CAL MODULE,1,0,LDO
88,VOLUME OFFST,4,0,LAO
89,PT FAIL COND,1,0,LDO
90,SWITCH DBAND,0.25,0,LAO
91,PRES SWITCH,1,0,LDO
92,CTL STPT,0.25,48,LAO
93,SUP FLO STPT,0.25,0,LAO
94,CAL AIR,1,0,LDO
95,CAL SETUP,1,0,LAO
96,CAL TIMER,1,0,LAO
97,SUPDUCT AREA,0.025,0,LAO
98,LOOP TIME,0.25,0,LAO
99,ERROR STATUS,1,0,LAO
