1,CTLR ADDRESS,1,0,LAO
2,APPLICATION,1,0,LAO
3,MA STPT,0.5,37.5,LAO
4,ROOM TEMP,0.25,48,LAI
5,HEAT.COOL,1,0,LDO
6,DAY CLG STPT,0.25,48,LAO
7,DAY HTG STPT,0.25,48,LAO
8,NGT CLG STPT,0.25,48,LAO
9,NGT HTG STPT,0.25,48,LAO
10,OADPR MINPOS,0.4,0,LAO
11,RM STPT MIN,0.25,48,LAO
12,RM STPT MAX,0.25,48,LAO
13,RM STPT DIAL,0.25,48,LAI
14,STPT DIAL,1,0,LDO
15,AI 3,0.4,0,LAI
17,FBP.MODVALVE,1,0,LDO
18,MA LOOPOUT,0.4,0,LAO
19,DI OVRD SW,1,0,LDI
20,OVRD TIME,1,0,LAO
21,NGT OVRD,1,0,LDO
22,PROOF TIME,1,0,LAO
23,FREE CLG,1,0,LDO
24,DI 2,1,0,LDI
26,DI 6,1,0,LDI
27,DX STG DELAY,1,0,LAO
28,FBP.2PSVCTL,1,0,LDO
29,DAY.NGT,1,0,LDO
30,WRMUP.COOLDN,1,0,LDO
31,AOV1 SPAN,0.01,0,LAO
32,AOV1 START,0.01,0,LAO
33,AOV2 SPAN,0.01,0,LAO
34,AOV2 START,0.01,0,LAO
35,AOV3 SPAN,0.01,0,LAO
36,AOV3 START,0.01,0,LAO
37,AO DIR.REV,1,0,LAO
38,AOV1,0.01,0,LAO
39,AOV2,0.01,0,LAO
40,AOV3,0.01,0,LAO
41,AUX RAD,1,0,LDO
42,DO 2,1,0,LDO
43,HTG 2POS VLV,1,0,LDO
44,DX 1,1,0,LDO
45,DX 2,1,0,LDO
46,FAN,1,0,LDO
47,DISCH TEMP,0.5,37.5,LAI
48,MA TEMP,0.5,37.5,LAI
49,MA TIME,1,0,LAO
50,AUX.NOAUX,1,0,LDO
51,PROOF USED,1,0,LDO
52,LOW TEMP DET,1,0,LDO
53,NGT HW HTG,1,0,LDO
54,NGT CLG MODE,1,0,LDO
55,MA P GAIN,0.25,0,LAO
56,MA I GAIN,0.001,0,LAO
57,MA D GAIN,2,0,LAO
59,DO DIR.REV,1,0,LAO
60,HTG OUTPUT,0.4,0,LAO
61,CLG OUTPUT,0.4,0,LAO
62,OA DMPR POS,0.4,0,LAO
63,CLG P GAIN,0.2,0,LAO
64,CLG I GAIN,0.0005,0,LAO
65,CLG D GAIN,2,0,LAO
66,SAFETY MODE,1,0,LDO
67,HTG P GAIN,0.05,0,LAO
68,HTG I GAIN,0.0002,0,LAO
69,HTG D GAIN,1,0,LAO
70,ROOM P GAIN,0.05,0,LAO
71,ROOM I GAIN,0.00009,0,LAO
72,ROOM D GAIN,2,0,LAO
73,CLG STG 1 ON,0.4,0,LAO
74,CLG STG 2 ON,0.4,0,LAO
75,CMP MIN OFF,1,0,LAO
76,CMP MIN ON,1,0,LAO
77,FAN ALARM,1,0,LDO
78,CTL TEMP,0.25,48,LAO
79,CLG LOOPOUT,0.2,0,LAO
80,HTG LOOPOUT,0.2,0,LAO
81,MAX MA STPT,0.5,37.5,LAO
82,MIN MA STPT,0.5,37.5,LAO
83,AUX ON,0.4,0,LAO
84,AUX OFF,0.4,0,LAO
85,SWITCH LIMIT,0.4,0,LAO
86,SWITCH TIME,1,0,LAO
87,LTDT CONTACT,1,0,LDO
88,NGT DBAND,0.25,0,LAO
89,MORN DBAND,0.25,0,LAO
90,SWITCH DBAND,0.25,0,LAO
91,MA OVERRIDE,1,0,LDO
92,CTL STPT,0.25,48,LAO
93,DISCH STPT,0.5,37.5,LAO
94,DSH MIN TEMP,0.5,37.5,LAO
95,DSH MAX TEMP,0.5,37.5,LAO
96,MA HI LIMIT,0.5,37.5,LAO
97,MA LO LIMIT,0.5,37.5,LAO
98,LOOP TIME,1,0,LAO
99,ERROR STATUS,1,0,LAO
